Alan Hansen (cmsd0ypd4007z68du6wjxpcpn) — heurística de edad (71 años, sin equipo actual)
Claudio Pizarro (cmsd1esls000rg4du32q8yox6) — heurística de edad (47 años, sin equipo actual)
Daniel Passarella (cms4ab8wb0079doduzj1i9wuw) — heurística de edad (73 años, sin equipo actual)
Daniel Pérez (cmsd4xauh0097icdu1gf30ue8) — heurística de edad (50 años, sin equipo actual)
Danny Murphy (cmsd1094s00bs68duob5mtfjo) — heurística de edad (49 años, sin equipo actual)
David Beckham (cms4ahjax00q1doduxd3ss90s) — heurística de edad (51 años, sin equipo actual)
David Ginola (cms4afier00khdoduoljg8qvu) — heurística de edad (59 años, sin equipo actual)
David Trezeguet (cms4aen5z00hbdodulyj44kn5) — heurística de edad (48 años, sin equipo actual)
Deco (cms4ajwmk00wydodurbdukg8v) — heurística de edad (48 años, sin equipo actual)
Denis Irwin (cmsd0x4oc004i68dumb491777) — heurística de edad (60 años, sin equipo actual)
Diego Maradona (cms4aavrv0065doduwbpmeu1z) — heurística de edad (65 años, sin equipo actual)
Diego Milito (cmsofwuus0000f8duwbejm80q) — heurística de edad (47 años, sin equipo actual)
Dino Zoff (cmsd18pm30000t4dutkhm7dvp) — heurística de edad (84 años, sin equipo actual)
Djalminha (cmsd0on1t003flcduisj6v1uk) — heurística de edad (55 años, sin equipo actual)
Donato (cmsd0oyyo003rlcdupsmwwhdu) — heurística de edad (63 años, sin equipo actual)
Edgar Davids (cms4ajh8k00vbdoduazeaeve5) — heurística de edad (53 años, sin equipo actual)
Emerson (cms35yn8v00c4wkdu954wjee0) — heurística de edad (50 años, sin equipo actual)
Emilio Butragueño (cms4ageay00mzdodu4cg5z15r) — heurística de edad (63 años, sin equipo actual)
Emmanuel Petit (cms4anafk019kdodumt0sjhuc) — heurística de edad (55 años, sin equipo actual)
Enzo Francescoli (cms4ak2ep00xrdodutro3bfnb) — heurística de edad (64 años, sin equipo actual)
Eusébio (cms4ajouc00w4doduigelkc9b) — heurística de edad (84 años, sin equipo actual)
Fabien Barthez (cms4aftr800lododuav1t7pjt) — heurística de edad (55 años, sin equipo actual)
Ferenc Puskás (cms4ak84k00yddodudvshyddf) — heurística de edad (99 años, sin equipo actual)
Fernando Redondo (cms4abryo0097dodu0l0tjnid) — heurística de edad (57 años, sin equipo actual)
Fernando Ricksen (cmsd55i9x00nwicdunvfdi9ne) — heurística de edad (50 años, sin equipo actual)
Francis Benali (cmsfr5n95000m1wduo9r44ybm) — heurística de edad (57 años, sin equipo actual)
Franz Beckenbauer (cms4abyhv009mdoduqwqaq3sh) — heurística de edad (80 años, sin equipo actual)
Gabriel Batistuta (cms4aayf6006ddodujuxw0bat) — heurística de edad (57 años, sin equipo actual)
Gareth McAuley (cmsd1zbs700csn0du9gp9v83e) — heurística de edad (46 años, sin equipo actual)
Garrincha (cms4a92720004dodupkpe40gp) — heurística de edad (92 años, sin equipo actual)
Gary Lineker (cms4ahbpq00pfdodu4889pxa2) — heurística de edad (65 años, sin equipo actual)
Gary Neville (cms4ai9ds00rvdoduadrn5guf) — heurística de edad (51 años, sin equipo actual)
Gary Pallister (cmsd0x9bp004u68duyfkx1qh2) — heurística de edad (61 años, sin equipo actual)
Gary Speed (cmsd0y7mr005s68du43l3pjc8) — heurística de edad (56 años, sin equipo actual)
George Best (cms4akdgd00yododueqespg4y) — heurística de edad (80 años, sin equipo actual)
Gerd Müller (cms4ac1br009rdoducis1f8uc) — heurística de edad (80 años, sin equipo actual)
Gianluca Pagliuca (cmsd19le00035t4du2jvi1dll) — heurística de edad (59 años, sin equipo actual)
Gianluca Vialli (cmsd19azh002at4du3sa9r1f5) — heurística de edad (62 años, sin equipo actual)
Giuseppe Meazza (cmsd18s0q0005t4dumjpxbram) — heurística de edad (115 años, sin equipo actual)
Giuseppe Signori (cmsd18wna000it4du0y0gv1u0) — heurística de edad (58 años, sin equipo actual)
Graeme Souness (cmsd0z9cl008368duj2oodgwm) — heurística de edad (73 años, sin equipo actual)
Guará (cmryv4jkx007sw8du9u2iih4o) — heurística de edad (110 años, sin equipo actual)
Hélder Postiga (cmsmx5hfn002oakduxcnwwobh) — heurística de edad (44 años, sin equipo actual)
Hidetoshi Nakata (cms4aks7s010xdoduqr17b59f) — heurística de edad (49 años, sin equipo actual)
Hugo Sánchez (cms4b0goj001k0wdubassdtct) — heurística de edad (68 años, sin equipo actual)
Ian Wright (cmsd0w08z000068dulgt7sr7p) — heurística de edad (62 años, sin equipo actual)
Iker Casillas (cms4afwa100lwdodumn529g67) — heurística de edad (45 años, sin equipo actual)
Iván Helguera (cmsisjm0b000w6sdufnsvgdgn) — heurística de edad (51 años, sin equipo actual)
Iván Zamorano (cms4amqc3016zdoduakyofy4x) — heurística de edad (59 años, sin equipo actual)
Jair (cms2vev2y027fasduhcam1mhm) — heurística de edad (105 años, sin equipo actual)
Jay-Jay Okocha (cms4am4so014zdoduhcc0wfck) — heurística de edad (53 años, sin equipo actual)
Jean Tigana (cmsd1iv9j00106oduetg0oij2) — heurística de edad (71 años, sin equipo actual)
Jens Jeremies (cmsd1hti70096g4du2w8ui0sh) — heurística de edad (52 años, sin equipo actual)
Joaquín (cmsd0navc0008lcdul4hluw0f) — heurística de edad (45 años, sin equipo actual)
Joe Cole (cmsiuk9e5007nbgduoqdjtonj) — heurística de edad (44 años, sin equipo actual)
Johan Cruyff (cms4aibo200rxdodu7a2g4dyt) — heurística de edad (79 años, sin equipo actual)
John Arne Riise (cmsd102ig00b168dunhx9fv5i) — heurística de edad (45 años, sin equipo actual)
John Barnes (cmsd0yfmm006o68dun9nf8n0z) — heurística de edad (62 años, sin equipo actual)
John Reid (cms36nmlk01ngwkdudxi45ldd) — heurística de edad (93 años, sin equipo actual)
Joleon Lescott (cmsiukzp800asbgduyxdhh9uf) — heurística de edad (43 años, sin equipo actual)
José Araquistáin (cmsedxvo10008gcdupg9p5xia) — heurística de edad (89 años, sin equipo actual)
José Luis Chilavert (cms4amsn3017bdodug1y6ja7v) — heurística de edad (61 años, sin equipo actual)
Juan Mena (cmseeo5bp000qzcduxifbuu1i) — heurística de edad (101 años, sin equipo actual)
Juan Sebastián Verón (cms4an7pi0194doduc8eudsqf) — heurística de edad (51 años, sin equipo actual)
Julien Faubert (cmsiuknps009jbgduvwf7xqs2) — heurística de edad (43 años, sin equipo actual)
Julio Salinas (cmsd0o03q001ilcdu5n46p7n9) — heurística de edad (63 años, sin equipo actual)
Juninho Pernambucano (cms4aafzt004ydoduka32ezbx) — heurística de edad (51 años, sin equipo actual)
Jürgen Klinsmann (cms4ac6il00a7doduu86dm1ib) — heurística de edad (62 años, sin equipo actual)
Just Fontaine (cms4af0l300ihdodu0en21e9e) — heurística de edad (92 años, sin equipo actual)
Kaká (cms4a9ka40026dodub49xcb0v) — heurística de edad (44 años, sin equipo actual)
Karl-Heinz Riedle (cmsd1f4ke001ug4duk3k7odsx) — heurística de edad (60 años, sin equipo actual)
Kenny Dalglish (cms4al2as011sdoduzwpu9my1) — heurística de edad (75 años, sin equipo actual)
Kevin Keegan (cmsd0zdx8008h68duavb5wskg) — heurística de edad (75 años, sin equipo actual)
Klaas-Jan Huntelaar (cmsa7ndp2004o8wv64mcgumx3) — heurística de edad (43 años, sin equipo actual)
Lee Dixon (cmsd0wsm1003668duqok2sf57) — heurística de edad (62 años, sin equipo actual)
Leonardo Cilaurren (cms32pa8v024gp8duvfmfkdcb) — heurística de edad (113 años, sin equipo actual)
Liam Miller (cms2wolrc00py0wduvzhsyiel) — heurística de edad (45 años, sin equipo actual)
Luis Aragonés (cmsd0o6v40024lcdu7cetjjtx) — heurística de edad (88 años, sin equipo actual)
Luis Fernandez (cmsd1ju91001t6odu9jhuk45c) — heurística de edad (66 años, sin equipo actual)
Luís Figo (cms4ajrpb00wmdodugobmmv5y) — heurística de edad (53 años, sin equipo actual)
Luis Suárez (ESP) (cms4b0bm200180wdu2c3kp78o) — heurística de edad (91 años, sin equipo actual)
Mamadou Niang (cmsd1krk600586odunxdo4me4) — heurística de edad (46 años, sin equipo actual)
Maniche (cms5zqtbm0009wsdupcu5j8ak) — heurística de edad (48 años, sin equipo actual)
Manuel Rosas (cmsfpju0300006kduhcrs1eqy) — heurística de edad (114 años, sin equipo actual)
Marcel Desailly (cms4aevkj00hzdodu1mj7eqkg) — heurística de edad (57 años, sin equipo actual)
Marco Romano (cms2wrc7a00wj0wduf6vxp46t) — heurística de edad (115 años, sin equipo actual)
Mario Kempes (cms4abbh8007gdoduoshvim9y) — heurística de edad (72 años, sin equipo actual)
Marius Trésor (cmsd1iqq9000t6odufqw0rdl6) — heurística de edad (76 años, sin equipo actual)
Mark Hughes (cmsd0xyys004z68dunjc2wwli) — heurística de edad (62 años, sin equipo actual)
Mark Lawrenson (cmsd0yn3o007p68du3wgwzejp) — heurística de edad (69 años, sin equipo actual)
Mauro Silva (cmsd0op4w003nlcdu0akinvpm) — heurística de edad (58 años, sin equipo actual)
Maxi Rodríguez (cms5zqqv20000wsdu4a21gl95) — heurística de edad (45 años, sin equipo actual)
Maxwell (cmsd1lh9p007e6odu77kev1qw) — heurística de edad (44 años, sin equipo actual)
Michael Owen (cms4ahyc100r2doduo491092r) — heurística de edad (46 años, sin equipo actual)
Moustafa Reyadh (cms36ea8p014mwkdusmzah33r) — heurística de edad (85 años, sin equipo actual)
Nemanja Vidić (cms4aluzj014pdoduv65khm67) — heurística de edad (44 años, sin equipo actual)
Neville Southall (cmsd0wx87003i68dufnheynli) — heurística de edad (67 años, sin equipo actual)
Niall Quinn (cmsd12nk000hl68du88sa59c3) — heurística de edad (59 años, sin equipo actual)
Nicola Berti (cmsd1atp9005mt4dutpx4rr30) — heurística de edad (59 años, sin equipo actual)
Nicolae Kovács (cmsfpjwa400036kduf1yv646m) — heurística de edad (114 años, sin equipo actual)
Nigel Winterburn (cmsd0wqkm003068duktsi0969) — heurística de edad (62 años, sin equipo actual)
Oliver Kahn (cms4ac97i00aidodu2surjzup) — heurística de edad (57 años, sin equipo actual)
Paco Gento (cmsd0nfj7000jlcdu2hrqhhqa) — heurística de edad (92 años, sin equipo actual)
Paolo Maldini (cms4ad8nm00d0dodus2qlrmbi) — heurística de edad (58 años, sin equipo actual)
Paolo Rossi (cms4amg0w015tdoduwjy6bpjz) — heurística de edad (69 años, sin equipo actual)
Papa Bouba Diop (cms75ywhx000rscdulipoc35q) — heurística de edad (48 años, sin equipo actual)
Patrice Evra (cmsiulbpv00bxbgduhakksjcx) — heurística de edad (45 años, sin equipo actual)
Patrik Berger (cmsd10dzd00c068du2y2823ru) — heurística de edad (52 años, sin equipo actual)
Paul Gascoigne (cms4ahdzb00pldoduafkp5vtl) — heurística de edad (59 años, sin equipo actual)
Paul Ince (cmsd0y3il005d68duev87xfjf) — heurística de edad (58 años, sin equipo actual)
Paul Konchesky (cmsfr5kl200081wdubuar47gn) — heurística de edad (45 años, sin equipo actual)
Paul Scholes (cms4ai7al00rqdoduvm0ljjou) — heurística de edad (51 años, sin equipo actual)
Pauleta (cms4ajzfl00xadoduo1aq4k0g) — heurística de edad (53 años, sin equipo actual)
Paulo Futre (cmsisnfi500h76sduf8fymnd5) — heurística de edad (60 años, sin equipo actual)
Peter Crouch (cmsd10tpj00dk68ducxc1qm1k) — heurística de edad (45 años, sin equipo actual)
Pietro Magni (cms2wr0lq00vm0wdu58fx3ejp) — heurística de edad (107 años, sin equipo actual)
Pirri (cms2x08g801n50wduhmcksjly) — heurística de edad (55 años, sin equipo actual)
Raí (cmsd1jz5f002b6odubvwfk2xq) — heurística de edad (61 años, sin equipo actual)
Ray Clemence (cmsd0zbsi008d68duryba0rgn) — heurística de edad (78 años, sin equipo actual)
Raymond Kopa (cmsd1ijq300006oduqb6gv2m8) — heurística de edad (94 años, sin equipo actual)
Robbie Keane (cmsisnhre00hj6sdu3q3abaa8) — heurística de edad (46 años, sin equipo actual)
Roberto Baggio (cms4ad60y00csdodunr3k7lgt) — heurística de edad (59 años, sin equipo actual)
Roberto Fernandes  (cmryv3swm006hw8du7olbwbg5) — heurística de edad (54 años, sin equipo actual)
Rogério Oliveira (cmsd6nm0703gjicdugibx8ieg) — heurística de edad (50 años, sin equipo actual)
Ronald de Boer (cms4ajeqg00v3dodulbmpe6sl) — heurística de edad (56 años, sin equipo actual)
Ronaldo (cms4azxx400000wdu6c4msiqe) — heurística de edad (49 años, sin equipo actual)
Ronnie Wallwork (cms2v6e9c01koasdurtu8olba) — heurística de edad (48 años, sin equipo actual)
Ruud Gullit (cms4aigsx00sbdodultedv31a) — heurística de edad (63 años, sin equipo actual)
Ruud van Nistelrooy (cms4aitw300tcdodu0e28s1sn) — heurística de edad (50 años, sin equipo actual)
Ryan Giggs (cms4al04c011qdoduf7fl0hnu) — heurística de edad (52 años, sin equipo actual)
Santillana (cmsd0nps9000xlcdusvjwvgnz) — heurística de edad (73 años, sin equipo actual)
Scott Parker (cmsfr9n4c000hacduydmp1tew) — heurística de edad (45 años, sin equipo actual)
Sepp Maier (cmsd1efkz0000g4du4sc6ni1k) — heurística de edad (82 años, sin equipo actual)
Shay Given (cmsd0zimn009268duy3gw06dy) — heurística de edad (50 años, sin equipo actual)
Sócrates (cms4a97xz000kdodu0x066452) — heurística de edad (72 años, sin equipo actual)
Stéphane Chapuisat (cmsd1fdub002mg4dujgx9067k) — heurística de edad (57 años, sin equipo actual)
Telmo Zarra (cmsd0ni51000mlcdud6ejlsgo) — heurística de edad (105 años, sin equipo actual)
Thiago Motta (cms5oallm001mc8dufoku5o9v) — heurística de edad (43 años, sin equipo actual)
Trevor Francis (cmsd0zg3b008o68du42br00mi) — heurística de edad (72 años, sin equipo actual)
Vladimir Jugović (cmsd1bchf007ft4dumi8m9xpf) — heurística de edad (56 años, sin equipo actual)
Youri Djorkaeff (cms4aexwp00i7dodujkyivbxz) — heurística de edad (58 años, sin equipo actual)
